word	nodeType	unit
aware	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
vulgar	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
Most	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
underground	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
real	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
old	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
past	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
anti	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
-	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
government	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
extremist	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
stupid	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
rid	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
public	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
own	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
same	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
sick	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
third	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
u-8	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
fellow	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
set	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
